metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,1.0,0.7881,1.0,1.0,0.748,1.0
recall,0.914,1.0,1.0,1.0,0.9892,0.914
f1,0.9551,0.8815,1.0,1.0,0.8519,0.9551
accuracy,0.914,0.7881,1.0,1.0,0.7419,0.914
