metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,1.0,0.3159,0.0,0.9894,0.9122,1.0
recall,1.0,1.0,0.0,1.0,1.0,1.0
f1,1.0,0.4801,0.0,0.9947,0.9541,1.0
accuracy,1.0,0.3159,0.0,0.9894,0.9122,1.0
