metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,1.0,0.2642,1.0,0.8587,1.0,1.0
recall,1.0,1.0,1.0,1.0,1.0,0.962
f1,1.0,0.418,1.0,0.924,1.0,0.9806
accuracy,1.0,0.2642,1.0,0.8587,1.0,0.962
