metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,1.0,0.3735,0.9845,0.9922,0.8699,1.0
recall,0.8425,1.0,1.0,1.0,1.0,0.8425
f1,0.9145,0.5439,0.9922,0.9961,0.9304,0.9145
accuracy,0.8425,0.3735,0.9845,0.9922,0.8699,0.8425
