metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,1.0,0.6286,1.0,1.0,0.7333,1.0
recall,1.0,1.0,1.0,1.0,1.0,1.0
f1,1.0,0.7719,1.0,1.0,0.8462,1.0
accuracy,1.0,0.6286,1.0,1.0,0.7333,1.0
