metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,1.0,0.7919,1.0,1.0,0.8972,1.0
recall,0.7119,1.0,0.7119,1.0,0.8136,0.7119
f1,0.8317,0.8839,0.8317,1.0,0.8533,0.8317
accuracy,0.7119,0.7919,0.7119,1.0,0.7442,0.7119
