metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,1.0,0.4488,1.0,1.0,1.0,1.0
recall,0.614,1.0,1.0,1.0,0.9825,0.9298
f1,0.7609,0.6196,1.0,1.0,0.9912,0.9636
accuracy,0.614,0.4488,1.0,1.0,0.9825,0.9298
