metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,1.0,0.2929,1.0,0.9643,1.0,1.0
recall,0.8529,1.0,0.8462,0.9774,0.8982,0.8529
f1,0.9206,0.4531,0.9167,0.9708,0.9464,0.9206
accuracy,0.8529,0.2929,0.8462,0.9432,0.8982,0.8529
