metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,1.0,0.7327,0.0,1.0,0.8962,0.9822
recall,0.9483,1.0,0.0,1.0,0.7038,0.9301
f1,0.9734,0.8457,0.0,1.0,0.7884,0.9555
accuracy,0.9483,0.7327,0.0,1.0,0.6507,0.9148
