metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,1.0,0.9531,1.0,1.0,1.0,1.0
recall,0.7541,1.0,0.7541,1.0,1.0,0.7541
f1,0.8598,0.976,0.8598,1.0,1.0,0.8598
accuracy,0.7541,0.9531,0.7541,1.0,1.0,0.7541
