metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,1.0,0.2063,1.0,1.0,0.939,0.0
recall,0.872,1.0,1.0,1.0,0.616,0.0
f1,0.9316,0.342,1.0,1.0,0.744,0.0
accuracy,0.872,0.2063,1.0,1.0,0.5923,0.0
