metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,1.0,0.5672,0.8941,1.0,1.0,0.0
recall,0.9656,1.0,0.3077,1.0,0.9777,0.0
f1,0.9825,0.7238,0.4578,1.0,0.9887,0.0
accuracy,0.9656,0.5672,0.2969,1.0,0.9777,0.0
