metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,1.0,0.6265,0.0,0.9635,1.0,1.0
recall,0.7098,1.0,0.0,1.0,0.8139,0.7098
f1,0.8303,0.7704,0.0,0.9814,0.8974,0.8303
accuracy,0.7098,0.6265,0.0,0.9635,0.8139,0.7098
