metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,1.0,0.1787,1.0,1.0,1.0,1.0
recall,1.0,1.0,1.0,1.0,0.9762,1.0
f1,1.0,0.3032,1.0,1.0,0.988,1.0
accuracy,1.0,0.1787,1.0,1.0,0.9762,1.0
