metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,1.0,0.6407,1.0,1.0,1.0,1.0
recall,0.6622,1.0,0.6622,1.0,0.6149,0.6622
f1,0.7967,0.781,0.7967,1.0,0.7615,0.7967
accuracy,0.6622,0.6407,0.6622,1.0,0.6149,0.6622
