metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,1.0,0.3615,0.0,0.9883,1.0,1.0
recall,0.9976,1.0,0.0,0.9976,0.9269,0.9976
f1,0.9988,0.531,0.0,0.993,0.9621,0.9988
accuracy,0.9976,0.3615,0.0,0.986,0.9269,0.9976
