metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,1.0,0.5159,1.0,1.0,1.0,1.0
recall,0.7692,1.0,0.7692,1.0,1.0,0.7692
f1,0.8696,0.6806,0.8696,1.0,1.0,0.8696
accuracy,0.7692,0.5159,0.7692,1.0,1.0,0.7692
