metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,1.0,0.4634,1.0,1.0,1.0,1.0
recall,0.4097,1.0,0.5104,0.9983,0.1962,0.4097
f1,0.5813,0.6333,0.6759,0.9991,0.328,0.5813
accuracy,0.4097,0.4634,0.5104,0.9983,0.1962,0.4097
