metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,1.0,0.3188,0.0,1.0,0.8564,1.0
recall,1.0,1.0,0.0,1.0,0.8924,1.0
f1,1.0,0.4835,0.0,1.0,0.874,1.0
accuracy,1.0,0.3188,0.0,1.0,0.7763,1.0
