metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,1.0,0.3087,1.0,0.9733,1.0,1.0
recall,0.6849,1.0,0.863,1.0,0.411,0.6849
f1,0.813,0.4717,0.9265,0.9865,0.5825,0.813
accuracy,0.6849,0.3087,0.863,0.9733,0.411,0.6849
