metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,0.8696,0.8261,0.8696,1.0,1.0,0.8696
recall,0.8696,0.8261,0.8696,1.0,1.0,0.8696
f1,0.8696,0.8261,0.8696,1.0,1.0,0.8696
accuracy,0.7692,0.7037,0.7692,1.0,1.0,0.7692
