metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,0.7143,0.3398,0.902,0.9417,0.8833,0.7143
recall,0.534,0.3398,0.4466,0.9417,0.5146,0.534
f1,0.6111,0.3398,0.5974,0.9417,0.6503,0.6111
accuracy,0.44,0.2047,0.4259,0.8899,0.4818,0.44
