metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,1.0,0.5676,1.0,1.0,1.0,1.0
recall,1.0,0.5676,1.0,1.0,0.973,1.0
f1,1.0,0.5676,1.0,1.0,0.9863,1.0
accuracy,1.0,0.3962,1.0,1.0,0.973,1.0
