metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,0.9355,0.7419,1.0,1.0,0.7436,0.9355
recall,0.9355,0.7419,1.0,1.0,0.9355,0.9355
f1,0.9355,0.7419,1.0,1.0,0.8286,0.9355
accuracy,0.8788,0.5897,1.0,1.0,0.7073,0.8788
