metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,1.0,0.561,0.881,1.0,0.9512,1.0
recall,1.0,0.561,0.9024,1.0,0.9512,1.0
f1,1.0,0.561,0.8916,1.0,0.9512,1.0
accuracy,1.0,0.3898,0.8043,1.0,0.907,1.0
