metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,1.0,0.2963,1.0,0.9362,1.0,0.9787
recall,1.0,0.3404,0.9787,0.9362,0.9362,0.9787
f1,1.0,0.3168,0.9892,0.9362,0.967,0.9787
accuracy,1.0,0.1882,0.9787,0.88,0.9362,0.9583
