metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,0.942,0.6429,0.5,0.9398,0.9403,0.0
recall,0.7738,0.6429,0.381,0.9286,0.75,0.0
f1,0.8497,0.6429,0.4324,0.9341,0.8344,0.0
accuracy,0.7386,0.4737,0.2759,0.8764,0.7159,0.0
