metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,0.8378,0.2432,1.0,1.0,0.8571,0.0
recall,0.8378,0.2432,0.973,1.0,0.8108,0.0
f1,0.8378,0.2432,0.9863,1.0,0.8333,0.0
accuracy,0.7209,0.1385,0.973,1.0,0.7143,0.0
