metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,1.0,0.4522,0.0,1.0,0.9386,1.0
recall,1.0,0.4522,0.0,1.0,0.9304,1.0
f1,1.0,0.4522,0.0,1.0,0.9345,1.0
accuracy,1.0,0.2921,0.0,1.0,0.877,1.0
