metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,0.8952,0.6,0.0,0.9429,0.9796,0.8952
recall,0.8952,0.6,0.0,0.9429,0.9143,0.8952
f1,0.8952,0.6,0.0,0.9429,0.9458,0.8952
accuracy,0.8103,0.4286,0.0,0.8919,0.8972,0.8103
