metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,1.0,0.3796,0.0,0.9854,0.9851,1.0
recall,1.0,0.3796,0.0,0.9854,0.9635,1.0
f1,1.0,0.3796,0.0,0.9854,0.9742,1.0
accuracy,1.0,0.2342,0.0,0.9712,0.9496,1.0
