metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,0.9477,0.4314,0.9562,0.9346,1.0,0.9477
recall,0.9477,0.4314,0.8562,0.9346,0.9608,0.9477
f1,0.9477,0.4314,0.9034,0.9346,0.98,0.9477
accuracy,0.9006,0.275,0.8239,0.8773,0.9608,0.9006
