metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,1.0,0.5294,1.0,1.0,1.0,1.0
recall,1.0,0.5294,0.8235,1.0,1.0,1.0
f1,1.0,0.5294,0.9032,1.0,1.0,1.0
accuracy,1.0,0.36,0.8235,1.0,1.0,1.0
