metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,0.9143,0.7714,0.9143,0.9714,0.7857,0.9143
recall,0.9143,0.7714,0.9143,0.9714,0.9429,0.9143
f1,0.9143,0.7714,0.9143,0.9714,0.8571,0.9143
accuracy,0.8421,0.6279,0.8421,0.9444,0.75,0.8421
