metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,0.967,0.7253,0.0,1.0,0.9778,0.9451
recall,0.967,0.7253,0.0,1.0,0.967,0.9451
f1,0.967,0.7253,0.0,1.0,0.9724,0.9451
accuracy,0.9362,0.569,0.0,1.0,0.9462,0.8958
