metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,0.4091,0.871,0.7273,1.0,1.0,0.4286
recall,0.2903,0.871,0.5161,1.0,0.1613,0.1935
f1,0.3396,0.871,0.6038,1.0,0.2778,0.2667
accuracy,0.2045,0.7714,0.4324,1.0,0.1613,0.1538
