metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,0.7727,0.5909,1.0,1.0,1.0,0.9545
recall,0.7727,0.5909,1.0,1.0,0.9545,0.9545
f1,0.7727,0.5909,1.0,1.0,0.9767,0.9545
accuracy,0.6296,0.4194,1.0,1.0,0.9545,0.913
