metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,1.0,0.7667,0.8947,1.0,0.9375,0.9333
recall,1.0,0.7667,0.5667,1.0,1.0,0.9333
f1,1.0,0.7667,0.6939,1.0,0.9677,0.9333
accuracy,1.0,0.6216,0.5312,1.0,0.9375,0.875
