metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,0.8889,0.6296,0.8889,1.0,1.0,0.8889
recall,0.8889,0.6296,0.8889,1.0,1.0,0.8889
f1,0.8889,0.6296,0.8889,1.0,1.0,0.8889
accuracy,0.8,0.4595,0.8,1.0,1.0,0.8
