metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,0.7071,0.5263,0.8068,0.9769,0.8636,0.7071
recall,0.5263,0.5263,0.5338,0.9549,0.4286,0.5263
f1,0.6034,0.5263,0.6425,0.9658,0.5729,0.6034
accuracy,0.4321,0.3571,0.4733,0.9338,0.4014,0.4321
