metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,0.7857,0.4524,0.7857,1.0,1.0,0.7857
recall,0.7857,0.4524,0.7857,1.0,0.9524,0.7857
f1,0.7857,0.4524,0.7857,1.0,0.9756,0.7857
accuracy,0.6471,0.2923,0.6471,1.0,0.9524,0.6471
