metrics,MinIOParser,MaxIOParser,Baseline,CRABS,A1,A2
precision,0.9057,0.3019,0.9811,0.9623,0.9245,0.9057
recall,0.9057,0.3019,0.9811,0.9623,0.9245,0.9057
f1,0.9057,0.3019,0.9811,0.9623,0.9245,0.9057
accuracy,0.8276,0.1778,0.963,0.9273,0.8596,0.8276
